Source	Character	Field	OldValue	NewValue
h	洳	primitives		氵如
h	遲	primitives		辶犀
h	釛	primitives		金力
h	飭	primitives		食力
h	蕷	primitives		艹預
h	瞶	primitives		目貴
h	搴	primitives		宀井一八手
h	顋	primitives		思頁
h	磧	primitives		石責
h	遉	primitives		辶貞
h	濛	primitives		氵蒙
h	綮	primitives		戸攵糸
h	仂	primitives		亻力
h	鷏	primitives		真鳥
h	詁	primitives		言古
h	杆	primitives		木干
h	祕	primitives		礻必
h	螳	primitives		虫堂
h	皸	primitives		軍皮
h	蚶	primitives		虫甘
h	朞	primitives		其月
h	臻	primitives		至秦
h	稠	primitives		禾周
h	貲	primitives		此貝
h	俚	primitives		亻里
h	搆	primitives		扌冓
h	縻	primitives		麻糸
h	瞹	primitives		目愛
h	椴	primitives		木段
h	鳬	primitives		几
h	劼	primitives		吉力
h	瘟	primitives		疒囚皿
h	歉	primitives		兼欠
h	秬	primitives		禾巨
h	嶐	primitives		山隆
h	輓	primitives		車免
h	鰾	primitives		魚票
h	襍	primitives		衤集
h	黯	primitives		黑音
h	怛	primitives		忄旦
h	樌	primitives		木貫
h	蝌	primitives		虫科
h	齪	primitives		齒足
h	椣	primitives		木典
h	撕	primitives		扌斯
h	襁	primitives		衤強
h	咋	primitives		口乍
h	畩	primitives		田衣
h	菘	primitives		艹松
h	譛	primitives		言替
h	媾	primitives		女冓
h	躑	primitives		足鄭
h	體	primitives		骨豊
h	蛔	primitives		虫回
h	椨	primitives		木府
h	隲	primitives		阜少馬
h	憙	primitives		喜心
h	穉	primitives		禾犀
h	鈑	primitives		金反
h	燉	primitives		火敦
h	騾	primitives		馬累
h	暼	primitives		敝日
h	鯀	primitives		魚系
h	鷯	primitives		尞鳥
h	鳫	primitives		厂鳥
h	禮	primitives		示豊
h	弃	primitives		亠厶开
h	嶄	primitives		山斬
h	貽	primitives		貝台
h	醢	primitives		酉右皿
